symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"DOGEUSDT.BINANCE, DOTUSDT.BINANCE, LINKUSDT.BINANCE",294.9%,1194,-14533.2,{'2023-01-14': -14533.2},1
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, DOTUSDT.BINANCE",246.69%,1058,-16035.32,{'2023-01-14': -16035.32},1
"DOGEUSDT.BINANCE, DOTUSDT.BINANCE, UNIUSDT.BINANCE",299.34%,1138,-21528.51,{'2023-01-14': -21528.51},1
"CHZUSDT.BINANCE, DOGEUSDT.BINANCE, DOTUSDT.BINANCE",376.49%,1200,-38172.38,{'2023-01-14': -38172.38},1
"1000SHIBUSDT.BINANCE, DOGEUSDT.BINANCE, DOTUSDT.BINANCE",751.85%,1216,-32880.78,{'2023-01-14': -32880.78},1
"BNBUSDT.BINANCE, DOTUSDT.BINANCE, LINKUSDT.BINANCE",246.79%,1086,-14767.08,{'2023-01-14': -14767.08},1
"CHZUSDT.BINANCE, DOTUSDT.BINANCE, LINKUSDT.BINANCE",376.59%,1228,-36989.45,{'2023-01-14': -36989.45},1
"1000SHIBUSDT.BINANCE, DOTUSDT.BINANCE, LINKUSDT.BINANCE",751.95%,1244,-31387.55,{'2023-01-14': -31387.55},1
"BNBUSDT.BINANCE, DOTUSDT.BINANCE, UNIUSDT.BINANCE",251.24%,1030,-21779.46,{'2023-01-14': -21779.46},1
"BNBUSDT.BINANCE, CHZUSDT.BINANCE, DOTUSDT.BINANCE",328.38%,1092,-38452.79,{'2023-01-14': -38452.79},1
"1000SHIBUSDT.BINANCE, BNBUSDT.BINANCE, DOTUSDT.BINANCE",703.74%,1108,-32888.31,{'2023-01-14': -32888.31},1
"CHZUSDT.BINANCE, DOTUSDT.BINANCE, UNIUSDT.BINANCE",381.03%,1172,-44056.23,{'2023-01-14': -44056.23},1
"1000SHIBUSDT.BINANCE, DOTUSDT.BINANCE, UNIUSDT.BINANCE",756.4%,1188,-38262.35,{'2023-01-14': -38262.35},1
"1000SHIBUSDT.BINANCE, CHZUSDT.BINANCE, DOTUSDT.BINANCE",833.54%,1250,-54892.67,{'2023-01-14': -54892.67},1
"DOGEUSDT.BINANCE, LINKUSDT.BINANCE, MATICUSDT.BINANCE",453.12%,1257,-13567.84,{'2023-01-29': -13567.84},1
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, MATICUSDT.BINANCE",404.92%,1121,-12005.38,{'2023-01-29': -12005.38},1
"DOGEUSDT.BINANCE, LINKUSDT.BINANCE, LTCUSDT.BINANCE",420.29%,1190,-32229.11,{'2023-03-10': -32229.11},1
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, LTCUSDT.BINANCE",372.09%,1054,-32197.95,{'2023-03-10': -32197.95},1
"DOGEUSDT.BINANCE, LINKUSDT.BINANCE, UNIUSDT.BINANCE",316.9%,1173,-10491.47,{'2023-01-14': -10491.47},1
"DOGEUSDT.BINANCE, LINKUSDT.BINANCE, XRPUSDT.BINANCE",653.78%,1225,-197950.59,{'2023-03-29': -197950.59},1
"CHZUSDT.BINANCE, DOGEUSDT.BINANCE, LINKUSDT.BINANCE",394.04%,1235,-24606.7,{'2023-01-14': -24606.7},1
"DOGEUSDT.BINANCE, LINKUSDT.BINANCE, OGNUSDT.BINANCE",400.25%,1344,-88898.94,{'2023-07-24': -88898.94},1
"1000SHIBUSDT.BINANCE, DOGEUSDT.BINANCE, LINKUSDT.BINANCE",769.41%,1251,-20884.83,{'2023-01-14': -20884.83},1
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, UNIUSDT.BINANCE",268.69%,1037,-11886.97,{'2023-01-14': -11886.97},1
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, XRPUSDT.BINANCE",605.57%,1089,-197736.26,{'2023-03-29': -197736.26},1
"BNBUSDT.BINANCE, CHZUSDT.BINANCE, DOGEUSDT.BINANCE",345.84%,1099,-26158.07,{'2023-01-14': -26158.07},1
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE, OGNUSDT.BINANCE",352.04%,1208,-88924.9,{'2023-07-24': -88924.9},1
"1000SHIBUSDT.BINANCE, BNBUSDT.BINANCE, DOGEUSDT.BINANCE",721.2%,1115,-22376.21,{'2023-01-14': -22376.21},1
"CHZUSDT.BINANCE, DOGEUSDT.BINANCE, UNIUSDT.BINANCE",398.49%,1179,-31658.15,{'2023-01-14': -31658.15},1
"1000SHIBUSDT.BINANCE, DOGEUSDT.BINANCE, UNIUSDT.BINANCE",773.85%,1195,-27688.64,{'2023-01-14': -27688.64},1
"1000SHIBUSDT.BINANCE, CHZUSDT.BINANCE, DOGEUSDT.BINANCE",851.0%,1257,-42989.5,{'2023-01-14': -42989.5},1
"BNBUSDT.BINANCE, LINKUSDT.BINANCE, MATICUSDT.BINANCE",405.02%,1149,-12025.77,{'2023-01-29': -12025.77},1
"BNBUSDT.BINANCE, LINKUSDT.BINANCE, LTCUSDT.BINANCE",372.19%,1082,-32211.62,{'2023-03-10': -32211.62},1
"LINKUSDT.BINANCE, LTCUSDT.BINANCE, UNIUSDT.BINANCE",424.84%,1162,-32220.18,{'2023-03-10': -32220.18},1
"BNBUSDT.BINANCE, LINKUSDT.BINANCE, UNIUSDT.BINANCE",268.79%,1065,-11000.46,{'2023-01-14': -11000.46},1
"BNBUSDT.BINANCE, LINKUSDT.BINANCE, XRPUSDT.BINANCE",605.67%,1117,-197720.45,{'2023-03-29': -197720.45},1
"BNBUSDT.BINANCE, CHZUSDT.BINANCE, LINKUSDT.BINANCE",345.94%,1127,-24905.9,{'2023-01-14': -24905.9},1
"BNBUSDT.BINANCE, LINKUSDT.BINANCE, OGNUSDT.BINANCE",352.14%,1236,-88979.17,{'2023-07-24': -88979.17},1
"1000SHIBUSDT.BINANCE, BNBUSDT.BINANCE, LINKUSDT.BINANCE",721.3%,1143,-20984.1,{'2023-01-14': -20984.1},1
"LINKUSDT.BINANCE, UNIUSDT.BINANCE, XRPUSDT.BINANCE",658.32%,1197,-198109.27,{'2023-03-29': -198109.27},1
"CHZUSDT.BINANCE, LINKUSDT.BINANCE, UNIUSDT.BINANCE",398.59%,1207,-30484.08,{'2023-01-14': -30484.08},1
"1000SHIBUSDT.BINANCE, LINKUSDT.BINANCE, UNIUSDT.BINANCE",773.95%,1223,-26219.74,{'2023-01-14': -26219.74},1
"1000SHIBUSDT.BINANCE, CHZUSDT.BINANCE, LINKUSDT.BINANCE",851.1%,1285,-41533.2,{'2023-01-14': -41533.2},1
"BNBUSDT.BINANCE, CHZUSDT.BINANCE, UNIUSDT.BINANCE",350.38%,1071,-31953.39,{'2023-01-14': -31953.39},1
"1000SHIBUSDT.BINANCE, BNBUSDT.BINANCE, UNIUSDT.BINANCE",725.75%,1087,-27691.73,{'2023-01-14': -27691.73},1
"1000SHIBUSDT.BINANCE, BNBUSDT.BINANCE, CHZUSDT.BINANCE",802.89%,1149,-43001.34,{'2023-01-14': -43001.34},1
"1000SHIBUSDT.BINANCE, CHZUSDT.BINANCE, UNIUSDT.BINANCE",855.54%,1229,-48413.2,{'2023-01-14': -48413.2},1
