params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",233.91%,469,-14313.78,"{'2023-06-25': -10393.65, '2023-07-14': -14313.78, '2023-08-18': -13665.0}",3
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",116.69%,459,-6192.46,{},0
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",2264.61%,460,-300004.97,{'2023-06-25': -300004.97},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",542.64%,445,-97199.11,{'2023-06-25': -97199.11},1
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",2282.67%,428,-300004.97,"{'2023-01-15': -26619.12, '2023-06-25': -300004.97}",2
"continuous_increase_rate_0.006, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",545.61%,423,-97199.11,"{'2023-01-15': -14538.08, '2023-06-25': -97199.11}",2
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.03, trending_open_loss_rate_0.01",3718.88%,530,-76751.31,"{'2023-03-18': -18137.73, '2023-06-26': -76751.31}",2
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.03, trending_open_loss_rate_0.02",864.58%,521,-28703.08,{'2023-06-25': -28703.08},1
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.04, trending_open_loss_rate_0.01",3590.88%,514,-76786.77,{'2023-06-26': -76786.77},1
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.04, trending_open_loss_rate_0.02",726.14%,495,-21738.29,{'2023-06-25': -21738.29},1
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.05, trending_open_loss_rate_0.01",3592.67%,492,-76788.68,"{'2023-06-26': -76788.68, '2023-07-14': -29288.89}",2
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.05, trending_open_loss_rate_0.02",797.09%,484,-21469.13,"{'2023-06-25': -21469.13, '2023-07-14': -16232.73}",2
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.06, trending_open_loss_rate_0.01",3340.66%,499,-709209.63,{'2023-06-25': -709209.63},1
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.06, trending_open_loss_rate_0.02",5017.17%,490,-221760.15,{'2023-06-25': -221760.15},1
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.07, trending_open_loss_rate_0.01",3277.16%,485,-709209.63,{'2023-06-25': -709209.63},1
"continuous_increase_rate_0.002, reduce_rate_0.004, trending_increase_rate_0.07, trending_open_loss_rate_0.02",793.83%,478,-221760.15,{'2023-06-25': -221760.15},1
"continuous_increase_rate_0.003, reduce_rate_0.004, trending_increase_rate_0.03, trending_open_loss_rate_0.01",126682.03%,492,-3131404.79,"{'2023-03-18': -14786.76, '2023-06-26': -3131404.79}",2
"continuous_increase_rate_0.003, reduce_rate_0.004, trending_increase_rate_0.03, trending_open_loss_rate_0.02",574.15%,478,-15109.82,{'2023-06-25': -15109.82},1
